Title,Description,Sub,Rank,DBLP,Year,ID,Link,Abstract Deadline,Deadline,Timezone,Date,Place
STOC,ACM Symposium on the Theory of Computing,CT,A,stoc,2021,stoc21,http://acm-stoc.org/stoc2021/,,2020-11-06 11:59:59,UTC-5,"June 21-25, 2021",Virtual
CAV,International Conference on Computer-Aided Verification,CT,A,cav,2022,cav22,http://i-cav.org/2022/,,2022-01-21 23:59:59,AoE,"Aug 7-10, 2022","Technion, Haifa, Israel"
LICS,IEEE Symposium on Logic in Computer Science,CT,A,lics,2023,lics,https://lics.siglog.org/lics23/,,2023-01-23 23:59:59,AoE,"June 26-29, 2023","Boston University, USA"
FOCS,IEEE Symposium on Foundations of Computer Science,CT,A,focs,2024,focs24,https://focs.computer.org/2024/,,2024-04-04 20:00:00,UTC-5,"October 27-30, 2024","Chicago, IL, USA"
IEEE VR,IEEE Virtual Reality,CG,A,vr,2024,vr24,http://ieeevr.org/2024/,2023-09-27 23:59:59,2023-10-04 23:59:59,AoE,"March 16-20, 2024","Orlando, Florida USA"
ICMR,ACM SIGMM International Conference on Multimedia Retrieval,CG,B,mir,2024,icmr24,https://icmr2024.org/index.html,,2024-02-01 23:59:59,UTC-12,"June 11-13, 2024","Phuket, Thailand"
Eurographics,Eurographics,CG,B,eurographics,2024,eg24,https://eg2024.cyens.org.cy/,2023-09-28 23:59:59,2023-10-05 23:59:59,UTC,"April 22-26, 2024","Limassol, Cyprus"
PRCV,Chinese Conference on Pattern Recognition and Computer Vision,CG,C,prcv,2023,prcv23,https://prcv2023.xmu.edu.cn/,,2023-06-20 23:59:59,UTC+8,"Oct 13-15, 2023","Xiamen, China"
PRCV,Chinese Conference on Pattern Recognition and Computer Vision,CG,C,prcv,2024,prcv24,http://www.prcv.cn/,,2024-04-15 23:59:59,UTC+8,"Oct 18-20, 2024","Urumchi, China"
PG,"Pacific Graphics, The Pacific Conference on Computer Graphics and Applications",CG,B,pg,2023,pg23,https://pg2023.org/,2023-06-01 23:59:59,2023-06-06 23:59:59,AoE,"October 10-13, 2023","Daejeon, South Korea"
MMAsia,ACM Multimedia Asia,CG,C,mmasia,2023,mmasia23,http://www.mmasia2023.org/,,2023-07-22 23:59:59,AoE,"December 06-08, 2023","Tainan, Taiwan"
ACM MM,ACM International Conference on Multimedia,CG,A,mm,2021,mm21,https://2021.acmmm.org/,2021-04-10 23:59:59,2021-04-17 23:59:59,AoE,"October 21-24, 2021","Chengdu, China"
ACM MM,ACM International Conference on Multimedia,CG,A,mm,2022,mm22,https://2022.acmmm.org/,2022-03-31 23:59:59,2022-04-07 23:59:59,UTC-12,"October 10-14, 2022","Lisbon, Portugal"
ACM MM,ACM International Conference on Multimedia,CG,A,mm,2023,mm23,https://www.acmmm2023.org/,2023-04-23 23:59:59,2023-05-04 23:59:59,UTC-12,"October 29-November 02, 2023","Ottawa, Ontario, Canada"
ACM MM,ACM International Conference on Multimedia,CG,A,mm,2024,mm24,https://2024.acmmm.org/,2024-04-08 23:59:59,2024-04-12 23:59:59,UTC-12,"October 28-November 01, 2024","Melbourne, Australia"
