conference_name,event_type,attendence_type,start_date,end_date,address,sponsors,map,website
2024 IEEE International Symposium on High-Performance Computer Architecture (HPCA),Technical Conference,In Person,2 March 2024,6 March 2024,"Edinburgh, United Kingdom",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=55.953252%2C-3.188267&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://hpca-conf.org/
2024 IEEE/ACM International Symposium on Code Generation and Optimization (CGO),Technical Conference,In Person,2 March 2024,6 March 2024,"Edinburgh, United Kingdom","['IEEE Computer Society', 'Association for Computing Machinery - ACM']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=55.953252%2C-3.188267&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/cgo-2024
2024 IEEE International Conference on Pervasive Computing and Communications (PerCom),Technical Conference,In Person,11 March 2024,15 March 2024,"Biarritz, France",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=43.4831519%2C-1.558626&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.percom.org/
2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops),Technical Conference,In Person,11 March 2024,15 March 2024,"Biarritz, France",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=43.4831519%2C-1.558626&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.percom.org/
"2024 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",Technical Conference,In Person,12 March 2024,15 March 2024,"Rovaniemi, Finland",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=66.50394779999999%2C25.7293905&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/saner-2024
"2024 IEEE International Conference on Software Analysis, Evolution and Reengineering - Companion (SANER-C)",Technical Conference,In Person,12 March 2024,12 March 2024,"Rovaniemi, Finland",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=66.50394779999999%2C25.7293905&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://conf.researchr.org/home/saner-2024
2024 IEEE Conference Virtual Reality and 3D User Interfaces (VR),Technical Conference,In Person,16 March 2024,21 March 2024,"Orlando, Florida, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=28.5383832%2C-81.3789269&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieeevr.org/2024/
2024 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),Technical Conference,In Person,16 March 2024,21 March 2024,"Orlando, Florida, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=28.5383832%2C-81.3789269&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://ieeevr.org/2024/
2024 9th International Conference on Big Data Analytics (ICBDA),Technical Conference,Hybrid,16 March 2024,18 March 2024,"Tokyo, Japan (Hybrid)","['IEEE Computer Society', 'Xian Jiaotong-Liverpool University']",https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=35.6761919%2C139.6503106&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,https://www.icbda.org/
2024 IEEE Southwest Symposium on Image Analysis and Interpretation (SSIAI),Technical Conference,In Person,17 March 2024,19 March 2024,"Santa Fe, New Mexico, USA",['IEEE Computer Society'],https://maps.googleapis.com/maps/api/staticmap?size=500x450&sensor=false&zoom=5&markers=35.6869752%2C-105.937799&key=AIzaSyBeSTwjOtn9hQP2fBZOPEJcH8Q6D0rmU1U,http://ssiai.org/
